cafeName,reviewerName,Description,rating,datePosted
"Plowshares Coffee Bloomingdale","Kyla Hebard","Best coffee & baristas in Manhattan. Favorites include quad latte & nitro cold brew. Special days always include a gluten free peanut butter cookie","5","8 years ago"
"Plowshares Coffee Bloomingdale","Olivia Kilmer","Nice place to grab a quick cup of coffee or study if there’s space! It’s pretty small in there fair warning, also no bathroom","4","a year ago"
"Plowshares Coffee Bloomingdale","Arash Azizi","Really superb coffee, great service and wonderful pastries","5","a year ago"
"Plowshares Coffee Bloomingdale","Jennifer Chau","Some of the best hot coffee I've had in the city.  They also have almond milk out to add for us lactose intolerant folk!","5","6 years ago"
"Plowshares Coffee Bloomingdale","aseel zahran","Excellent oat-based milk Cortado. The quality of the coffee is superb. The o ly downside is that the place has no bathroom..","4","6 years ago"
"Plowshares Coffee Bloomingdale","Kenn So","Great coffee with a great view. It doesn't get too crowded so it's a good place to just sit and chill in.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Ashley S. Kim","Very dog unfriendly and unwelcoming.","1","2 months ago"
"Plowshares Coffee Bloomingdale","Nate Loehrke","When I went to this coffee place there was a wizard drinking coffee, and a set of tiny twins.  That's enough for me.  But I also like that the place was lit with old movie lights.  I was Charmed.  #rosemcgowan","5","6 years ago"
"Plowshares Coffee Bloomingdale","Benjamin Forbes","Fantastic coffee! Tried both their espresso and dark roast. Quick, friendly service.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Henry Rabinowitz","The best coffee around.  Consistently good.","5","7 months ago"
"Plowshares Coffee Bloomingdale","Ger","Love the pastries and the coffee! Very high quality. Plus the service is always very sweet and kind.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Brett Kendrick","The best coffee and baristas in the city. What a great addition to the neighborhood. Try a nitro cold brew and an almond croissant. Delicious!","5","8 years ago"
"Plowshares Coffee Bloomingdale","Smith Connor","Did not receive a welcoming vibe from the millennial baristas. They simply had no interest in being friendly to me. So 2 stars.","2","5 years ago"
"Plowshares Coffee Bloomingdale","Astrid Ovalles","Went to buy coffee at 3pm. They close at 4pm. Guy locked the door in front of my face and shook his head at me like I was crazy for trying to come in at 3pm on a Monday. I guess they're billionaires who don't need business.","1","3 years ago"
"Plowshares Coffee Bloomingdale","Geo Derek","Limited food selection, not particularly friendly service and no bathrooms.","2","9 months ago"
"Plowshares Coffee Bloomingdale","Rachel Luxemburg","Smooth and delicious coffee and friendly service.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Joanna Chapin","Really good coffee, appealing friendly staff, but alas, too few seats...due to such small space\n..","5","6 years ago"
"Plowshares Coffee Bloomingdale","Deepti Singh","Great coffee and service. Not a lot of space to sit or move around so it's a grab and go type of shop.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Elliot Norton","One of my favorite places to go for whole bean coffee - and their lattés are among the best in the city.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Ahmet-Hamdi Cavusoglu","Great coffee! Try the nitro cold brew, but be prepared to be surprised if you try to add milk (it'll separate)","5","8 years ago"
"Plowshares Coffee Bloomingdale","Eric Giovon","Amazing coffee.  Starbucks should be ashamed of themselves.  Anyone who appreciates the best of the best when it comes to coffee - this is definitely one of them.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Murray Levi","Love the coffee roast they use and the baristas are always skilled and friendly. One of my go-to coffee shops","4","7 years ago"
"Plowshares Coffee Bloomingdale","GONZÁLEZ DÍEZ Andreína","Kind and welcoming. Awesome music and really good coffee, thank you guys :)","5","a year ago"
"Plowshares Coffee Bloomingdale","Logan Wilson","Amazing coffee and baristas! Must stop by if you're around the area in need of great coffee!","5","8 years ago"
"Plowshares Coffee Bloomingdale","Monty Brecheen","In my personal opinion this is one of New York's best places to come for coffee. People Are extremely friendly which is rare in New York","5","7 years ago"
"Plowshares Coffee Bloomingdale","Faz","It's a decent coffee place. Little small but hey its NY...virtually every shop is tiny!","4","7 years ago"
"Plowshares Coffee Bloomingdale","Dave Shilling","Small coffee shop with good lattes and nice baristas. Laptop jockeys mostly, but grab an empty seat across from a stranger and make a friend.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Luis Ortiz","The coffee was good, but they were a tad slow and unorganized, serving a similar coffee to a patron behind me before mine.","3","8 years ago"
"Plowshares Coffee Bloomingdale","Casper Jørgensen","Their cappuccino is $4. It's good, much better than your average chain, but not the greatest.","4","8 years ago"
"Plowshares Coffee Bloomingdale","Abby Crotinger","Great coffee, friendly people, and I love their pistachio cardamom bread.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Jeff Howard","Dogs are prohibited, making it advisable for dog owners to refrain from spending their money at this store.","2","a year ago"
"Plowshares Coffee Bloomingdale","Divaldo Camara","Good coffee. Mediocre customer service. Have been there a few times.","2","2 years ago"
"Plowshares Coffee Bloomingdale","Miriam Lang Budin","The best coffee on the Upper West Side.","5","7 months ago"
"Plowshares Coffee Bloomingdale","Abdulla AlShamsi","The single espresso was phenomenal. Real fresh taste of beans.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Adam Kendrick","The coffee is some of the best in the city (especially the cold brew).","5","9 years ago"
"Plowshares Coffee Bloomingdale","JB","Quite friendly place with a nice vibe and a focus on great coffee.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Juan Lopezgomez","The pastries needed abit more cream cheese inside, not enough cream cheese.","4","a year ago"
"Plowshares Coffee Bloomingdale","Johnny Gabriele","Great coffee. Nice quite small coffee shop on the UWS","5","7 years ago"
"Plowshares Coffee Bloomingdale","Hector Dominguez","Excellent coffee and pastries. Great service","5","6 years ago"
"Plowshares Coffee Bloomingdale","Lynn Sharpe-Underwood","Coffee is great, service is friendly...not noisy...love it...","5","7 years ago"
"Plowshares Coffee Bloomingdale","Rachel Gevertz","The best coffee shop and friendly baristas in Manhattan hands down :)","5","8 years ago"
"Plowshares Coffee Bloomingdale","Rory Chambers","Love these guys! My favourite coffee in town.","5","8 years ago"
